candidacy_img,name,gender,address,education,experience,job,birth,district_code,party,criminal,candidacy_id
/photo_20160413/Sd2700/Gsg2702/Sgg2270201/Hb100119562/gicho/thumbnail.100119562.jpg,류성걸,남,대구광역시 동구 동부로,미국 시라큐스대학교 경제학박사(1987.9.~1991.12.),"(전)기획재정부 차관,(현)제19대 국회의원",국회의원,"1957/07/12,(58세)",2270201,무소속,없음,100119562
/photo_20160413/Sd2700/Gsg2704/Sgg2270101/Hb100119276/gicho/thumbnail.100119276.jpg,곽상도,남,대구광역시 남구 장전2길,성균관대학교 법학석사,"(전)대통령비서실 민정수석비서관,(전)대한법률구조공단 이사장",변호사,"1959/12/23,(56세)",2270101,새누리당,없음,100119276
/photo_20160413/Sd2700/Gsg2704/Sgg2270101/Hb100120370/gicho/thumbnail.100120370.jpg,김동열,남,대구광역시 남구 효동길,경산대학교(현 대구한의대학교) 보건경제학과 졸업,"(전)대구KYC(한국청년연합)대표,(현)더불어민주당 정책위원회 부의장",광현농산 대표,"1967/09/17,(48세)",2270101,더불어민주당,1건,100120370
/photo_20160413/Sd2700/Gsg2704/Sgg2270101/Hb100120038/gicho/thumbnail.100120038.jpg,최창진,남,대구광역시 동구 과학로,대구대학교 초등특수교육과 졸업,"(전) 진보신당 대구시당 사무처장,(현) 아르바이트노동조합 대구지부 운영위원",노동당 대구시당 준비위원장,"1981/11/25,(34세)",2270101,노동당,없음,100120038
/photo_20160413/Sd2700/Gsg2704/Sgg2270101/Hb100120395/gicho/thumbnail.100120395.jpg,김구,남,대구광역시 남구 현충로18길,계성 고등학교 졸업,(전)코웨이(주) 사업국장,무직,"1962/06/20,(53세)",2270101,무소속,2건,100120395
/photo_20160413/Sd2800/Gsg2808/Sgg2280803/Hb100120377/gicho/thumbnail.100120377.jpg,황우여,남,인천광역시 서구 고산후로78번길,서울대학교 대학원 법학과 졸업(법학박사),"(전) 사회부총리 겸 교육부장관,(현) 제19대 국회의원(5선)",제19대 국회의원,"1947/08/03,(68세)",2280803,새누리당,없음,100120377
/photo_20160413/Sd2800/Gsg2808/Sgg2280803/Hb100118330/gicho/thumbnail.100118330.jpg,신동근,남,인천광역시 서구 버들로,서울대학교 치의학과 대학원(박사과정) 수료,"(전)인천광역시 정무부시장,(전)새정치민주연합 인천광역시당 위원장",치과의사,"1961/12/22,(54세)",2280803,더불어민주당,1건,100118330
/photo_20160413/Sd2800/Gsg2808/Sgg2280803/Hb100119932/gicho/thumbnail.100119932.jpg,허영,남,인천광역시 서구 가현로82번길,인천대학교 공학대학원 졸업 (공학석사),"(현)인천도시발전연구원 대표,(현)재인인천호남향우회 회장",기업인,"1961/12/09,(54세)",2280803,국민의당,4건,100119932
/photo_20160413/Sd2800/Gsg2808/Sgg2280803/Hb100118792/gicho/thumbnail.100118792.jpg,홍순목,남,인천광역시 서구 완정로64번길,서강대학교 공공정책대학원 졸업(행정학 석사),"(전) 여의도연구원 정책자문위원,(전) 새누리당 중앙위원회 교통분과 부위원장",개인사업,"1968/02/16,(48세)",2280803,무소속,1건,100118792
/photo_20160413/Sd2800/Gsg2806/Sgg2280602/Hb100118336/gicho/thumbnail.100118336.jpg,강창규,남,인천광역시 부평구 세월천로,인천대학교 행정대학원 사회복지학과 졸업(석사),"(전)인천광역시의회 의장(제5대 2기),(전)새누리당 박근혜대통령후보 인천시당선대위 공동선거대책본부장",정당인,"1955/01/16,(61세)",2280602,새누리당,없음,100118336
/photo_20160413/Sd2800/Gsg2806/Sgg2280602/Hb100120083/gicho/thumbnail.100120083.jpg,홍영표,남,인천광역시 부평구 수변로,동국대학교 대학원 행정학과 박사과정 수료,"(전)참여정부 국무총리실 시민사회비서관,(현)더불어민주당 인천시당위원장",제19대 국회의원,"1957/04/30,(58세)",2280602,더불어민주당,3건,100120083
/photo_20160413/Sd2800/Gsg2806/Sgg2280602/Hb100119242/gicho/thumbnail.100119242.jpg,이현웅,남,인천광역시 부평구 마장로324번길,연세대학교 법과대학 법학과 졸업,"(현)변호사,(현)인하대학교 법학전문대학원 겸임교수",변호사,"1970/07/04,(45세)",2280602,국민의당,없음,100119242
/photo_20160413/Sd2800/Gsg2808/Sgg2280802/Hb100119555/gicho/thumbnail.100119555.jpg,이학재,남,인천광역시 서구 청라에메랄드로,중앙대학교 대학원 지역사회개발학과 졸업(경제학 박사),"(현)제19대 국회의원(재선),(전)새누리당 박근혜 대통령후보 비서실장",국회의원,"1964/08/19,(51세)",2280802,새누리당,1건,100119555
/photo_20160413/Sd2800/Gsg2808/Sgg2280802/Hb100119344/gicho/thumbnail.100119344.jpg,김교흥,남,인천광역시 서구 원적로124번길,동국대학교 대학원 정치학과 박사과정 수료,"(전)17대 국회의원,(전)인천시 정무부시장",가천대학교 교육대학원 초빙교수,"1960/08/30,(55세)",2280802,더불어민주당,1건,100119344
/photo_20160413/Sd2800/Gsg2808/Sgg2280802/Hb100120522/gicho/thumbnail.100120522.jpg,유길종,남,인천광역시 부평구 부평대로167번길,연세대학교 행정대학원 정치행정리더십전공 석사과정 제3학기 재학,"(전) 지엠대우자동차 사무노조 위원장,(현) 한신대학교 초빙교수",정당인,"1961/12/12,(54세)",2280802,국민의당,3건,100120522
/photo_20160413/Sd2800/Gsg2808/Sgg2280802/Hb100120573/gicho/thumbnail.100120573.jpg,안생준,남,인천광역시 서구 원적로124번길,이원초등학교 졸업,"(전)인천시 서구의회 5대 기초의원,(현)재인 서구 충청향우회 고문",시영운수 대표이사,"1948/10/21,(67세)",2280802,무소속,2건,100120573
/photo_20160413/Sd2800/Gsg2807/Sgg2280702/Hb100118307/gicho/thumbnail.100118307.JPG,윤형선,남,인천광역시 계양구 장제로,고려대학교 대학원 졸업 의학박사,"(전)인천광역시 의사회 회장,(현)계양 속편한 내과 대표원장",의사,"1961/04/10,(55세)",2280702,새누리당,1건,100118307
