candidacy_img,name,gender,address,education,experience,job,birth,district_code,party,criminal,candidacy_id
/photo_20160413/Sd4700/Gsg4701/Sgg2470101/Hb100118328/gicho/thumbnail.100118328.jpg,오중기,남,경상북도 포항시 북구 새천년대로,영남대학교 철학과 졸업,"(전) 경상북도 도지사 후보,(현) 더불어민주당 경북도당위원장",정당인,"1967/07/23,(48세)",2470101,더불어민주당,1건,100118328
/photo_20160413/Sd4700/Gsg4701/Sgg2470101/Hb100118816/gicho/thumbnail.100118816.jpg,박창호,남,경상북도 포항시 북구 새천년대로1123번길,위덕대학교 사회복지전공 졸업,"(전) 포항환경운동연합 위원장,(현) 정의당 경북도당 위원장",정당인,"1966/06/01,(49세)",2470101,정의당,2건,100118816
/photo_20160413/Sd4700/Gsg4701/Sgg2470101/Hb100118329/gicho/thumbnail.100118329.jpg,박승호,남,경상북도 포항시 북구 대안길,한국체육대학교 체육학과 대학원 박사과정 졸업(이학박사),"(전) 대통령 비서실 행정관,(전) 포항시장(민선4기,5기)",정치인,"1957/08/05,(58세)",2470101,무소속,없음,100118329
/photo_20160413/Sd4700/Gsg4702/Sgg2470201/Hb100120277/gicho/thumbnail.100120277.jpg,박명재,남,경상북도 포항시 남구 서동로,연세대학교 행정대학원 졸업(행정학석사),"(전)행정자치부장관,(현)19대 국회의원",국회의원,"1947/07/05,(68세)",2470201,새누리당,없음,100120277
/photo_20160413/Sd4700/Gsg4702/Sgg2470201/Hb100120362/gicho/thumbnail.100120362.jpg,박승억,남,경상북도 포항시 남구 축항로72번길,동국대학교 국사학과 졸업,"(현)민주노총 전국플랜트건설노동조합 포항지부 교육선전부장,(현)민중연합당 경상북도당 비정규직철폐위원장",플랜트건설노동자,"1970/04/04,(46세)",2470201,민중연합당,1건,100120362
/photo_20160413/Sd4300/Gsg4310/Sgg2431002/Hb100120231/gicho/thumbnail.100120231.jpg,경대수,남,충청북도 음성군 금왕읍 무극로,서울대학교 대학원 법학과 석사과정 수료,"(전)대검찰청 마약ㆍ조직범죄부장(검사장),(현)새누리당 충북도당위원장",국회의원,"1958/03/18,(58세)",2431002,새누리당,없음,100120231
/photo_20160413/Sd4300/Gsg4310/Sgg2431002/Hb100118390/gicho/thumbnail.100118390.jpg,임해종,남,충청북도 음성군 금왕읍 대금로,가천대학교 대학원 회계·세무학과 박사과정 수료,"(전)기획재정부 공공정책국장,(현)더불어민주당 증평군진천군음성군 지역위원장",정당인,"1958/11/10,(57세)",2431002,더불어민주당,없음,100118390
/photo_20160413/Sd4300/Gsg4310/Sgg2431002/Hb100119540/gicho/thumbnail.100119540.jpg,김영국,남,충청북도 음성군 음성읍 예술로,성균관대학교 대학원 경영학과 졸업(경영학박사),"(전)충청대학교 경영과 조교수,(전)신구대학교 경영과 조교수",한일중학교 이사장,"1959/04/25,(56세)",2431002,국민의당,없음,100119540
/photo_20160413/Sd4300/Gsg4307/Sgg2430701/Hb100119508/gicho/thumbnail.100119508.jpg,박덕흠,남,충청북도 옥천군 옥천읍 동부로,한양대학교 대학원 토목공학과 졸업 (공학박사),"(전) 대한전문건설협회 중앙회 회장,(현) 제19대 국회의원",국회의원,"1953/10/18,(62세)",2430701,새누리당,1건,100119508
/photo_20160413/Sd4300/Gsg4307/Sgg2430701/Hb100118708/gicho/thumbnail.100118708.jpg,이재한,남,충청북도 옥천군 옥천읍 성왕로,중앙대학교 국제대학원 국제관계 및 통상학과 졸업(국제학박사),"(현)중소기업중앙회 부회장,(현)더불어민주당 중소기업 특별위원장",정당인,"1963/04/26,(52세)",2430701,더불어민주당,2건,100118708
/photo_20160413/Sd4300/Gsg4303/Sgg2430301/Hb100120183/gicho/thumbnail.100120183.jpg,이종배,남,충청북도 충주시 봉계1길,고려대학교 법과대학 행정학과 졸업,"(전)충주시장,(현)새누리당 원내부대표",국회의원,"1957/05/30,(58세)",2430301,새누리당,없음,100120183
/photo_20160413/Sd4300/Gsg4303/Sgg2430301/Hb100118387/gicho/thumbnail.100118387.jpg,윤홍락,남,충청북도 충주시 금릉로,한국교통대학교 글로벌융합대학원 스포츠학과 석사과정 재학(3학기차),"(전)건국대학교 글로컬캠퍼스 겸임교수(영미법),(현)충주기업도시(주) 고문변호사",변호사,"1962/01/17,(54세)",2430301,더불어민주당,없음,100118387
/photo_20160413/Sd4300/Gsg4306/Sgg2430601/Hb100118643/gicho/thumbnail.100118643.jpg,오성균,남,충청북도 청주시 청원구 오창읍 오창중앙로,고려대학교 법학과 졸업,"(전)새누리당 청원군당원협의회 운영위원장,(현)법무법인 충청 대표변호사",변호사,"1966/10/01,(49세)",2430601,새누리당,없음,100118643
/photo_20160413/Sd4300/Gsg4306/Sgg2430601/Hb100119092/gicho/thumbnail.100119092.jpg,변재일,남,충청북도 청주시 청원구 오창읍 오창중앙로,미국 펜실베니아대학교 정치학 석사 졸업(1981.9.3.~1983.5.23.),"(전)정보통신부 차관,(현)더불어민주당 비상대책위원",국회의원,"1948/09/02,(67세)",2430601,더불어민주당,없음,100119092
/photo_20160413/Sd4300/Gsg4306/Sgg2430601/Hb100119221/gicho/thumbnail.100119221.jpg,신언관,남,충청북도 청주시 청원구 오창읍 성재2길,서울대학교 농과대학 농업교육과 졸업,"(전)새정치민주연합 충북도당 공동위원장,(현)국민의당 중앙운영위원",농업CEO,"1956/09/14,(59세)",2430601,국민의당,없음,100119221
/photo_20160413/Sd4300/Gsg4306/Sgg2430601/Hb100120396/gicho/thumbnail.100120396.jpg,김도경,남,충청북도 청주시 청원구 북이면 석성길,중동고등학교 중퇴(1978.3.6.~1978.8.23.),"(전)제9대 충청북도의회 의원,(전)청원군 농민회장",농업,"1960/12/17,(55세)",2430601,민중연합당,1건,100120396
/photo_20160413/Sd4300/Gsg4304/Sgg2430401/Hb100118323/gicho/thumbnail.100118323.jpg,권석창,남,충청북도 제천시 용두대로15길,서울대학교 행정대학원(석사과정) 졸업,"(전) 국토교통부 자동차정책기획단장,(전) 익산지방국토관리청장",세명대학교 초빙교수,"1966/08/06,(49세)",2430401,새누리당,없음,100118323
/photo_20160413/Sd4300/Gsg4304/Sgg2430401/Hb100118381/gicho/thumbnail.100118381.jpg,이후삼,남,충청북도 제천시 용두대로15길,청주대학교 회계학과 졸업,"(전) 안희정 충남도지사 정무비서관,(현) 더불어민주당 중앙당 정책위부의장",정당인,"1969/09/18,(46세)",2430401,더불어민주당,3건,100118381
/photo_20160413/Sd4300/Gsg4304/Sgg2430401/Hb100119357/gicho/thumbnail.100119357.jpg,김대부,남,충청북도 제천시 용두대로15길,골든게이트유니버시티 행정학석사(`85.8~`87.8),"(전) SFK뉴스대표,(전) 한나라당 제천단양지구당 공동위원장",정당인,"1961/07/01,(54세)",2430401,국민의당,1건,100119357
/photo_20160413/Sd4300/Gsg4302/Sgg2430202/Hb100118944/gicho/thumbnail.100118944.jpg,송태영,남,충청북도 청주시 흥덕구 가로수로1131번길,연세대학교 언론홍보대학원 졸업(문학석사),"(전)한나라당(현 새누리당) 충북도당 위원장,(현)새누리당 중앙연수원 부원장",정당인,"1961/03/20,(55세)",2430202,새누리당,없음,100118944
/photo_20160413/Sd4300/Gsg4302/Sgg2430202/Hb100119806/gicho/thumbnail.100119806.jpg,도종환,남,충청북도 청주시 흥덕구 대신로73번길,충남대학교 대학원 졸업(문학박사),"(현)더불어민주당 국회의원,(현)접시꽃당신, 담쟁이 시인",국회의원,"1955/09/27,(60세)",2430202,더불어민주당,없음,100119806
